epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1302,0.99375,3.46629,1.06311,0.03934,0.7037,0.15028,0.12104,0.72514,3.41805,0.84569,4e-05,4e-05,4e-05
2,63.3527,0.85876,3.33263,0.98397,0.05771,0.77778,0.25571,0.20762,0.70437,3.37751,0.85111,8.703e-05,8.703e-05,8.703e-05
3,87.0006,0.8012,3.15401,0.94796,0.05103,0.87037,0.33333,0.25916,0.70477,3.34077,0.85867,0.00013076,0.00013076,0.00013076
4,111.429,0.79786,3.01831,0.94609,0.04195,1,0.35799,0.28654,0.6779,3.27547,0.85092,0.00017119,0.00017119,0.00017119
5,158.398,0.908,2.84091,1.00764,0.03681,1,0.39746,0.32473,0.66993,3.2588,0.84658,0.00020832,0.00020832,0.00020832
6,185.727,0.84301,2.74696,0.94776,0.03521,1,0.42267,0.33712,0.66606,3.24562,0.84768,0.00024215,0.00024215,0.00024215
7,211.782,0.81532,2.52208,0.93093,0.03285,0.96296,0.48911,0.38596,0.67947,3.20154,0.84613,0.00027268,0.00027268,0.00027268
8,240.717,0.84702,2.37793,0.9575,0.03336,0.92593,0.52664,0.41701,0.68007,3.18045,0.84732,0.00029991,0.00029991,0.00029991
9,265.844,0.86807,2.23468,0.99399,0.03193,0.92593,0.54383,0.44209,0.69073,3.13808,0.84909,0.00032384,0.00032384,0.00032384
10,309.099,0.82196,2.00853,0.95658,0.03011,0.98148,0.64692,0.52559,0.67382,3.02736,0.84341,0.00034447,0.00034447,0.00034447
11,332.155,0.84537,1.96502,0.98138,0.03027,0.98148,0.71561,0.59301,0.64991,2.94403,0.84608,0.0003618,0.0003618,0.0003618
12,353.319,0.84319,1.84999,0.99578,0.37177,0.96296,0.7696,0.64483,0.6403,2.85003,0.84915,0.00037583,0.00037583,0.00037583
13,371.856,0.83546,1.743,0.99409,0.93102,0.40511,0.80939,0.67532,0.62842,2.75925,0.84263,0.00038656,0.00038656,0.00038656
14,429.104,0.76801,1.5743,0.95821,0.93102,0.40511,0.80939,0.67532,0.62842,2.75925,0.84263,0.00039399,0.00039399,0.00039399
15,464.77,0.77805,1.47492,0.97476,0.95132,0.1711,0.85305,0.71694,0.65024,2.63275,0.8406,0.00039812,0.00039812,0.00039812
16,506.806,0.78611,1.47232,0.9834,1,0.2115,0.91584,0.76644,0.65615,2.50682,0.83893,0.00039895,0.00039895,0.00039895
17,547.996,0.76323,1.35507,0.98041,0.99266,0.40435,0.93863,0.78654,0.6435,2.38601,0.84422,0.00039648,0.00039648,0.00039648
18,581.583,0.77552,1.31187,0.95555,0.99266,0.40435,0.93863,0.78654,0.6435,2.38601,0.84422,0.00039071,0.00039071,0.00039071
19,616.919,0.76929,1.27501,0.95486,0.98869,0.64892,0.97254,0.81863,0.63315,2.20173,0.83958,0.00038164,0.00038164,0.00038164
20,651.283,0.81821,1.18787,1.00814,0.98252,0.79783,0.995,0.84604,0.62738,1.96952,0.84036,0.00036927,0.00036927,0.00036927
21,683.037,0.72282,1.06982,0.92999,0.98252,0.79783,0.995,0.84604,0.62738,1.96952,0.84036,0.00034,0.00034,0.00034
22,711.704,0.74406,1.05307,0.97462,0.96343,0.88908,0.995,0.84687,0.63938,1.70458,0.8477,0.000307,0.000307,0.000307
23,740.913,0.74253,1.02446,0.9748,0.95891,0.96879,0.995,0.84328,0.65473,1.44775,0.85279,0.000274,0.000274,0.000274
24,770.193,0.79802,0.9888,0.91389,0.95891,0.96879,0.995,0.84328,0.65473,1.44775,0.85279,0.000241,0.000241,0.000241
25,806.113,0.74056,0.93138,0.92307,0.96293,0.96299,0.995,0.85927,0.64728,1.21679,0.84389,0.000208,0.000208,0.000208
26,828.054,0.65638,0.93729,0.916,0.96293,0.96299,0.995,0.85927,0.64728,1.21679,0.84389,0.000175,0.000175,0.000175
27,848.859,0.70551,0.95357,0.9576,0.96277,0.96366,0.995,0.86386,0.64092,1.07991,0.83596,0.000142,0.000142,0.000142
28,869.316,0.69085,0.94079,0.93501,0.94976,1,0.995,0.86432,0.63606,0.96938,0.83325,0.000109,0.000109,0.000109
29,890.49,0.69163,0.96774,0.92545,0.94976,1,0.995,0.86432,0.63606,0.96938,0.83325,7.6e-05,7.6e-05,7.6e-05
30,914.536,0.67152,0.9021,0.92323,0.96699,1,0.995,0.86415,0.63494,0.89227,0.83252,4.3e-05,4.3e-05,4.3e-05
